Year,Week,WeekOfYear,State,Chlamydia,Gonorrhea,Syphilis,HIV,TotalSTI
2020,117,13,Tennessee,917,372,31,12,1332
2020,118,14,Tennessee,657,282,42,7,988
2020,119,15,Tennessee,551,233,42,4,830
2020,120,16,Tennessee,459,223,26,16,724
2020,121,17,Tennessee,461,229,45,10,744
2020,122,18,Tennessee,518,238,32,6,795
2020,123,19,Tennessee,419,236,46,13,714
2020,124,20,Tennessee,527,300,27,7,861
2020,125,21,Tennessee,302,207,47,9,665
2020,126,22,Tennessee,625,243,48,12,828
2020,127,23,Tennessee,588,305,30,16,939
2020,128,24,Tennessee,592,328,47,11,955
2020,129,25,Tennessee,492,261,47,7,811
2020,130,26,Tennessee,585,334,44,16,959
2020,131,27,Tennessee,483,218,44,6,751
2020,132,28,Tennessee,627,280,20,13,940
2020,133,29,Tennessee,753,385,37,8,1183
2020,134,30,Tennessee,844,377,32,10,1263
2020,135,31,Tennessee,800,392,28,11,1231
2020,136,32,Tennessee,872,412,82,13,1379
2020,137,33,Tennessee,888,445,91,18,1442
2020,138,34,Tennessee,644,318,45,8,1015
2020,139,35,Tennessee,928,499,45,15,1466
2020,140,36,Tennessee,939,433,58,15,1466
2020,141,37,Tennessee,729,391,39,5,1144
2020,142,38,Tennessee,858,532,69,13,1492
2020,143,39,Tennessee,633,363,43,9,1048
2020,144,40,Tennessee,839,429,48,21,1337
2020,145,41,Tennessee,874,489,43,20,1426
2020,146,42,Tennessee,749,410,34,13,1206
2020,147,43,Tennessee,785,404,22,8,1241
2020,148,44,Tennessee,804,409,55,14,1260
2020,149,45,Tennessee,771,385,49,14,1219
2020,150,46,Tennessee,582,301,21,3,907
2020,151,47,Tennessee,818,456,69,17,1360
2020,152,48,Tennessee,377,221,14,4,596
2020,153,49,Tennessee,865,468,66,23,1611
2020,154,50,Tennessee,740,359,12,17,985
2020,155,51,Tennessee,897,460,93,12,1436
2020,156,52,Tennessee,523,245,41,8,817
2021,157,1,Tennessee,242,132,2,1,377
2021,158,2,Tennessee,471,288,11,6,776
2021,159,3,Tennessee,362,182,4,9,557
2021,160,4,Tennessee,746,373,23,9,1150
2021,161,5,Tennessee,746,373,23,9,1150
2021,162,6,Tennessee,785,386,19,10,1200
2021,163,7,Tennessee,213,112,9,2,336
2021,164,8,Tennessee,662,316,24,11,1013
2021,165,9,Tennessee,786,362,27,11,1186
2021,166,10,Tennessee,890,434,26,26,1376
2021,167,11,Tennessee,1014,500,35,16,1565
2021,168,12,Tennessee,863,440,39,29,1371
2021,169,13,Tennessee,858,435,24,25,1342
2021,170,14,Tennessee,713,465,46,10,1234
